POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
116,Mithun Manhas,3,2,2,13,11*,0.0,17,76.47,0,0,1,0
117,Ajit Agarkar,4,2,1,12,9*,12.0,16,75.0,0,0,0,0
118,Andre Russell,3,2,0,11,7,5.5,14,78.57,0,0,0,0
119,Rahul Sharma,11,6,2,11,10*,2.75,17,64.7,0,0,1,0
120,Syed Mohammad,4,2,0,10,9,5.0,13,76.92,0,0,1,0
121,Sachithra Senanayake,8,4,3,10,7*,10.0,17,58.82,0,0,0,0
122,Thalaivan Sargunam,1,1,0,10,10,10.0,17,58.82,0,0,0,0
123,Lakshmipathy Balaji,13,3,2,9,9*,9.0,10,90.0,0,0,1,0
124,Naman Ojha,2,2,1,9,9,9.0,10,90.0,0,0,1,0
125,Karun Nair,2,2,0,9,9,4.5,12,75.0,0,0,0,0
126,Lasith Malinga,17,6,2,9,7,2.25,18,50.0,0,0,1,0
127,Nathan Coulter-Nile,1,1,0,9,9,9.0,6,150.0,0,0,0,1
128,Ashok Dinda,13,5,3,9,6*,4.5,11,81.81,0,0,1,0
129,Iqbal Abdulla,5,2,2,8,6*,0.0,14,57.14,0,0,0,0
130,Marlon Samuels,2,2,0,8,5,4.0,18,44.44,0,0,1,0
131,Siddarth Kaul,6,2,2,7,7*,0.0,9,77.77,0,0,0,0
132,Udit Birla,2,1,0,7,7,7.0,14,50.0,0,0,1,0
133,Dan Christian,2,2,0,6,4,3.0,15,40.0,0,0,0,0
134,Quinton de Kock,3,3,0,6,4,2.0,15,40.0,0,0,1,0
135,Paul Valthaty,1,1,0,6,6,6.0,17,35.29,0,0,0,0
136,Brendon McCullum,1,1,0,6,6,6.0,7,85.71,0,0,1,0
137,Mohammad Shami,3,1,0,5,5,5.0,10,50.0,0,0,0,0
138,Dimitri Mascarenhas,1,1,1,5,5*,0.0,5,100.0,0,0,0,0
139,Ali Murtaza,3,1,0,5,5,5.0,4,125.0,0,0,1,0
140,Mahesh Rawat,2,2,1,5,5,5.0,11,45.45,0,0,0,0
141,Wayne Parnell,4,1,0,5,5,5.0,7,71.42,0,0,0,0
142,Parveez Rasool,2,2,1,5,4*,5.0,9,55.55,0,0,0,0
143,Paras Dogra,1,1,0,5,5,5.0,8,62.5,0,0,0,0
144,Ben Laughlin,2,2,1,4,4*,4.0,9,44.44,0,0,0,0
145,Pradeep Sangwan,2,1,1,4,4*,0.0,2,200.0,0,0,1,0
146,Ajit Chandila,8,1,1,4,4*,0.0,6,66.66,0,0,0,0
147,Raiphi Gomez,2,1,1,4,4*,0.0,1,400.0,0,0,1,0
148,Laxmi Ratan Shukla,4,2,0,3,2,1.5,12,25.0,0,0,0,0
149,Siddharth Trivedi,17,2,1,3,3,3.0,7,42.85,0,0,0,0
150,Ryan McLaren,2,2,0,3,2,1.5,6,50.0,0,0,0,0
